,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,142945,755606,0,605638,0,0,804506,26063,304702,126882,15563,0
1,0,146710,506170,0,641679,0,0,837565,2046,184187,22765,470,0
2,0,139005,1420919,2,479220,0,0,236220,7207,38216,21700,858,0
3,0,90873,531315,0,38766,0,0,29755,2385,5344,246,0,0
4,0,39041,900974,0,1494493,0,0,674897,146920,150468,100902,3462,0
5,0,12888,521782,0,215279,0,0,89047,382,27186,13501,1070,0
6,0,30952,721793,8,201608,0,0,77869,2366,6729,12389,842,0
7,0,114431,767789,0,1555276,0,0,2381373,257595,734359,90364,676,0
8,0,20734,1344,0,125443,0,0,628097,623804,344038,215358,956,0
9,0,155151,118455,0,148872,0,0,199059,4529,1032714,82727,9927,0
10,0,6017,41131,0,79133,0,0,158623,133524,214209,145223,992,0
11,0,323,274,0,2195,0,0,13884,4661,678116,136170,946,0
12,0,26928,80042,0,51412,0,0,35672,188,32691,81299,16724,0
