,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2770,99141,681385,0,172076,6,0,1110126,44727,589915,78393,3366,0
1,16,123883,557600,0,209473,0,0,1109522,8949,314230,17765,154,0
2,201,108366,1126890,0,213018,22,0,723165,19066,137017,15276,326,0
3,0,61924,400160,0,55036,0,0,161780,1411,17170,1203,0,0
4,15,55687,851683,0,385536,0,0,1601009,140588,347013,129033,593,0
5,64,18388,361265,0,110571,0,0,312392,1918,66964,9370,203,0
6,151,27418,509392,0,132110,0,0,340119,2538,32949,9727,152,0
7,0,124946,987787,0,465578,0,0,2652405,242607,1222402,206115,23,0
8,0,15843,31156,0,23140,0,0,462123,502226,538550,386736,0,0
9,133,133170,175569,0,38967,0,0,287362,9913,1011607,92544,2169,0
10,0,8325,34558,0,7445,53,0,156979,153203,252018,166261,10,0
11,0,875,1826,0,726,0,0,19690,17312,604935,191205,0,0
12,2517,12994,49332,0,13782,0,0,97780,9587,72088,65954,922,0
